country_name,related,last,previous
Albania,Food Inflation,2.1,"
                                percent"
country_name,related,last,previous
Albania,Food Inflation,2.1,"
                                "
country_name,related,last,previous
Albania,Food Inflation,2.1,"
                                percent"
